mese,tipo_giorno,fascia_oraria,categoria,bucket_ritardo_arrivo,minuti_ritardo,count,minuti_anticipo
2024-06,infrasettimanale,mattina,EC,"(-1,0]",0.0,2,0.0
2024-06,infrasettimanale,mattina,EC,"(-10,-5]",0.0,7,47.0
2024-06,infrasettimanale,mattina,EC,"(-5,-1]",0.0,8,28.0
2024-06,infrasettimanale,mattina,EC,"(0,1]",1.0,1,0.0
2024-06,infrasettimanale,mattina,EC,"(1,5]",12.0,4,0.0
2024-06,infrasettimanale,mattina,EC,"(15,30]",16.0,1,0.0
2024-06,infrasettimanale,mattina,EC,"(5,10]",27.0,3,0.0
2024-06,infrasettimanale,mattina,EC,> 120,171.0,1,0.0
2024-06,infrasettimanale,mattina,IC,"(-1,0]",0.0,25,0.0
2024-06,infrasettimanale,mattina,IC,"(-10,-5]",0.0,16,99.0
2024-06,infrasettimanale,mattina,IC,"(-15,-10]",0.0,3,32.0
2024-06,infrasettimanale,mattina,IC,"(-30,-15]",0.0,4,87.0
2024-06,infrasettimanale,mattina,IC,"(-5,-1]",0.0,43,103.0
2024-06,infrasettimanale,mattina,IC,"(0,1]",32.0,32,0.0
2024-06,infrasettimanale,mattina,IC,"(1,5]",303.0,87,0.0
2024-06,infrasettimanale,mattina,IC,"(10,15]",411.0,32,0.0
2024-06,infrasettimanale,mattina,IC,"(15,30]",698.0,33,0.0
2024-06,infrasettimanale,mattina,IC,"(30,60]",1241.0,28,0.0
2024-06,infrasettimanale,mattina,IC,"(5,10]",480.0,62,0.0
2024-06,infrasettimanale,mattina,IC,"(60,120]",1259.0,15,0.0
2024-06,infrasettimanale,mattina,IC,> 120,242.0,2,0.0
2024-06,infrasettimanale,mattina,ICN,"(-15,-10]",0.0,2,25.0
2024-06,infrasettimanale,mattina,ICN,"(-30,-15]",0.0,3,64.0
2024-06,infrasettimanale,mattina,ICN,"(-5,-1]",0.0,1,1.0
2024-06,infrasettimanale,mattina,ICN,"(60,120]",67.0,1,0.0
2024-06,infrasettimanale,mattina,MET,"(-1,0]",0.0,59,0.0
2024-06,infrasettimanale,mattina,MET,"(-10,-5]",0.0,12,77.0
2024-06,infrasettimanale,mattina,MET,"(-5,-1]",0.0,315,574.0
2024-06,infrasettimanale,mattina,MET,"(0,1]",111.0,111,0.0
