mese,categoria,bucket_ritardo_arrivo,minuti_anticipo,count,minuti_ritardo
2024-06,EC,"(-1,0]",0.0,12,0.0
2024-06,EC,"(-10,-5]",199.0,31,0.0
2024-06,EC,"(-15,-10]",10.0,1,0.0
2024-06,EC,"(-5,-1]",176.0,74,0.0
2024-06,EC,"(0,1]",0.0,28,28.0
2024-06,EC,"(1,5]",0.0,94,305.0
2024-06,EC,"(10,15]",0.0,48,621.0
2024-06,EC,"(15,30]",0.0,32,690.0
2024-06,EC,"(30,60]",0.0,28,1145.0
2024-06,EC,"(5,10]",0.0,80,629.0
2024-06,EC,"(60,120]",0.0,9,645.0
2024-06,EC,> 120,0.0,7,1105.0
2024-06,EC,missing,0.0,3,0.0
2024-06,EN,"(-10,-5]",5.0,1,0.0
2024-06,EN,"(-5,-1]",4.0,2,0.0
2024-06,EN,"(0,1]",0.0,2,2.0
2024-06,EN,"(1,5]",0.0,2,8.0
2024-06,EN,"(10,15]",0.0,1,13.0
2024-06,EN,"(15,30]",0.0,5,102.0
2024-06,EN,"(30,60]",0.0,8,360.0
2024-06,EN,"(5,10]",0.0,6,49.0
2024-06,EN,"(60,120]",0.0,4,322.0
2024-06,EN,> 120,0.0,4,949.0
2024-06,EXP,"(-1,0]",0.0,1,0.0
2024-06,EXP,"(-10,-5]",6.0,1,0.0
2024-06,EXP,"(-30,-15]",26.0,1,0.0
2024-06,EXP,"(-5,-1]",9.0,4,0.0
2024-06,EXP,"(-60,-30]",40.0,1,0.0
2024-06,EXP,"(1,5]",0.0,1,4.0
2024-06,EXP,"(10,15]",0.0,1,14.0
2024-06,EXP,"(15,30]",0.0,1,17.0
2024-06,EXP,"(30,60]",0.0,1,38.0
2024-06,EXP,"(5,10]",0.0,2,17.0
2024-06,EXP,> 120,0.0,2,412.0
2024-06,IC,"(-1,0]",0.0,109,0.0
2024-06,IC,"(-10,-5]",1077.0,163,0.0
2024-06,IC,"(-15,-10]",345.0,29,0.0
2024-06,IC,"(-30,-15]",222.0,11,0.0
2024-06,IC,"(-5,-1]",845.0,362,0.0
2024-06,IC,"(-60,-30]",75.0,2,0.0
2024-06,IC,"(0,1]",0.0,111,111.0
2024-06,IC,"(1,5]",0.0,413,1394.0
2024-06,IC,"(10,15]",0.0,169,2189.0
2024-06,IC,"(15,30]",0.0,235,5124.0
2024-06,IC,"(30,60]",0.0,176,7570.0
2024-06,IC,"(5,10]",0.0,348,2720.0
2024-06,IC,"(60,120]",0.0,80,6465.0
2024-06,IC,> 120,0.0,24,4385.0
2024-06,IC,missing,0.0,9,0.0
2024-06,ICN,"(-1,0]",0.0,14,0.0
2024-06,ICN,"(-10,-5]",153.0,22,0.0
2024-06,ICN,"(-15,-10]",116.0,10,0.0
2024-06,ICN,"(-30,-15]",314.0,14,0.0
2024-06,ICN,"(-5,-1]",156.0,67,0.0
2024-06,ICN,"(-60,-30]",50.0,1,0.0
2024-06,ICN,"(0,1]",0.0,18,18.0
2024-06,ICN,"(1,5]",0.0,65,210.0
2024-06,ICN,"(10,15]",0.0,24,307.0
2024-06,ICN,"(15,30]",0.0,35,740.0
2024-06,ICN,"(30,60]",0.0,21,981.0
2024-06,ICN,"(5,10]",0.0,40,310.0
2024-06,ICN,"(60,120]",0.0,10,808.0
2024-06,ICN,> 120,0.0,4,645.0
2024-06,IR,"(30,60]",0.0,1,43.0
2024-06,MET,"(-1,0]",0.0,511,0.0
2024-06,MET,"(-10,-5]",834.0,143,0.0
2024-06,MET,"(-15,-10]",48.0,4,0.0
2024-06,MET,"(-5,-1]",4614.0,2401,0.0
2024-06,MET,"(0,1]",0.0,721,721.0
2024-06,MET,"(1,5]",0.0,747,2114.0
2024-06,MET,"(10,15]",0.0,60,753.0
2024-06,MET,"(15,30]",0.0,55,1208.0
2024-06,MET,"(30,60]",0.0,9,367.0
2024-06,MET,"(5,10]",0.0,127,957.0
2024-06,MET,"(60,120]",0.0,2,141.0
2024-06,MET,missing,0.0,84,0.0
2024-06,NCL,"(-1,0]",0.0,1,0.0
2024-06,NCL,"(-10,-5]",7.0,1,0.0
2024-06,NCL,"(-30,-15]",145.0,6,0.0
2024-06,NCL,"(-5,-1]",1.0,1,0.0
2024-06,NCL,"(-60,-30]",74.0,2,0.0
2024-06,NCL,"(15,30]",0.0,1,19.0
2024-06,NCL,<= -60,61.0,1,0.0
2024-06,NCL,missing,0.0,1,0.0
2024-06,REG,"(-1,0]",0.0,15187,0.0
2024-06,REG,"(-10,-5]",40605.0,6887,0.0
2024-06,REG,"(-15,-10]",6040.0,539,0.0
2024-06,REG,"(-30,-15]",1801.0,106,0.0
2024-06,REG,"(-5,-1]",104748.0,51839,0.0
2024-06,REG,"(-60,-30]",215.0,5,0.0
2024-06,REG,"(0,1]",0.0,19145,19145.0
2024-06,REG,"(1,5]",0.0,39739,123749.0
2024-06,REG,"(10,15]",0.0,3979,50295.0
2024-06,REG,"(15,30]",0.0,3768,80434.0
2024-06,REG,"(30,60]",0.0,1487,61108.0
2024-06,REG,"(5,10]",0.0,11478,85524.0
2024-06,REG,"(60,120]",0.0,360,28898.0
2024-06,REG,<= -60,132.0,2,0.0
2024-06,REG,> 120,0.0,59,10244.0
2024-06,REG,missing,0.0,2053,0.0
2024-06,,"(-1,0]",0.0,209,0.0
2024-06,,"(-10,-5]",3003.0,468,0.0
2024-06,,"(-15,-10]",680.0,63,0.0
2024-06,,"(-30,-15]",144.0,8,0.0
2024-06,,"(-5,-1]",2108.0,911,0.0
2024-06,,"(-60,-30]",138.0,4,0.0
2024-06,,"(0,1]",0.0,312,312.0
2024-06,,"(1,5]",0.0,1240,4213.0
2024-06,,"(10,15]",0.0,506,6437.0
2024-06,,"(15,30]",0.0,618,13482.0
2024-06,,"(30,60]",0.0,426,18198.0
2024-06,,"(5,10]",0.0,822,6350.0
2024-06,,"(60,120]",0.0,242,20023.0
2024-06,,> 120,0.0,116,19344.0
2024-06,,missing,0.0,58,0.0
2024-07,DIR,"(-5,-1]",1.0,1,0.0
2024-07,DIR,"(30,60]",0.0,1,38.0
2024-07,EC,"(-1,0]",0.0,13,0.0
2024-07,EC,"(-10,-5]",272.0,44,0.0
2024-07,EC,"(-5,-1]",247.0,111,0.0
2024-07,EC,"(0,1]",0.0,23,23.0
2024-07,EC,"(1,5]",0.0,101,344.0
2024-07,EC,"(10,15]",0.0,69,883.0
2024-07,EC,"(15,30]",0.0,74,1635.0
2024-07,EC,"(30,60]",0.0,63,2650.0
2024-07,EC,"(5,10]",0.0,92,726.0
2024-07,EC,"(60,120]",0.0,21,1762.0
2024-07,EC,> 120,0.0,2,253.0
2024-07,EC,missing,0.0,4,0.0
2024-07,EN,"(-1,0]",0.0,1,0.0
2024-07,EN,"(-10,-5]",11.0,2,0.0
2024-07,EN,"(-5,-1]",9.0,5,0.0
2024-07,EN,"(0,1]",0.0,2,2.0
2024-07,EN,"(1,5]",0.0,4,15.0
2024-07,EN,"(10,15]",0.0,4,52.0
2024-07,EN,"(15,30]",0.0,11,244.0
2024-07,EN,"(30,60]",0.0,6,266.0
2024-07,EN,"(5,10]",0.0,8,69.0
2024-07,EN,"(60,120]",0.0,7,560.0
2024-07,EN,> 120,0.0,2,382.0
2024-07,EXP,"(-1,0]",0.0,1,0.0
2024-07,EXP,"(-10,-5]",12.0,2,0.0
2024-07,EXP,"(-15,-10]",36.0,3,0.0
2024-07,EXP,"(-30,-15]",27.0,1,0.0
2024-07,EXP,"(-5,-1]",5.0,3,0.0
2024-07,EXP,"(-60,-30]",80.0,2,0.0
2024-07,EXP,"(1,5]",0.0,1,4.0
2024-07,EXP,"(10,15]",0.0,2,25.0
2024-07,EXP,"(15,30]",0.0,1,20.0
2024-07,EXP,"(30,60]",0.0,3,112.0
2024-07,EXP,"(5,10]",0.0,2,18.0
2024-07,EXP,"(60,120]",0.0,1,64.0
2024-07,IC,"(-1,0]",0.0,112,0.0
2024-07,IC,"(-10,-5]",1155.0,178,0.0
2024-07,IC,"(-15,-10]",532.0,46,0.0
2024-07,IC,"(-30,-15]",134.0,7,0.0
2024-07,IC,"(-5,-1]",839.0,371,0.0
2024-07,IC,"(-60,-30]",39.0,1,0.0
2024-07,IC,"(0,1]",0.0,133,133.0
2024-07,IC,"(1,5]",0.0,500,1717.0
2024-07,IC,"(10,15]",0.0,265,3398.0
2024-07,IC,"(15,30]",0.0,377,8246.0
2024-07,IC,"(30,60]",0.0,302,13396.0
2024-07,IC,"(5,10]",0.0,438,3429.0
2024-07,IC,"(60,120]",0.0,111,8753.0
2024-07,IC,<= -60,62.0,1,0.0
2024-07,IC,> 120,0.0,53,10047.0
2024-07,IC,missing,0.0,19,0.0
2024-07,ICN,"(-1,0]",0.0,23,0.0
2024-07,ICN,"(-10,-5]",158.0,25,0.0
2024-07,ICN,"(-15,-10]",125.0,11,0.0
2024-07,ICN,"(-30,-15]",236.0,12,0.0
2024-07,ICN,"(-5,-1]",173.0,73,0.0
2024-07,ICN,"(0,1]",0.0,17,17.0
2024-07,ICN,"(1,5]",0.0,66,229.0
2024-07,ICN,"(10,15]",0.0,31,395.0
2024-07,ICN,"(15,30]",0.0,33,747.0
2024-07,ICN,"(30,60]",0.0,27,1152.0
2024-07,ICN,"(5,10]",0.0,42,322.0
2024-07,ICN,"(60,120]",0.0,17,1416.0
2024-07,ICN,> 120,0.0,7,1156.0
2024-07,IR,"(1,5]",0.0,2,8.0
2024-07,IR,"(10,15]",0.0,1,12.0
2024-07,IR,"(15,30]",0.0,1,20.0
2024-07,IR,"(30,60]",0.0,1,42.0
2024-07,IR,"(5,10]",0.0,1,10.0
2024-07,IR,"(60,120]",0.0,1,88.0
2024-07,MET,"(-1,0]",0.0,832,0.0
2024-07,MET,"(-10,-5]",1209.0,207,0.0
2024-07,MET,"(-15,-10]",115.0,11,0.0
2024-07,MET,"(-30,-15]",18.0,1,0.0
2024-07,MET,"(-5,-1]",6918.0,3637,0.0
2024-07,MET,"(0,1]",0.0,1210,1210.0
2024-07,MET,"(1,5]",0.0,1168,3287.0
2024-07,MET,"(10,15]",0.0,64,803.0
2024-07,MET,"(15,30]",0.0,49,1086.0
2024-07,MET,"(30,60]",0.0,21,838.0
2024-07,MET,"(5,10]",0.0,167,1208.0
2024-07,MET,"(60,120]",0.0,7,655.0
2024-07,MET,> 120,0.0,1,180.0
2024-07,MET,missing,0.0,190,0.0
2024-07,NCL,"(-60,-30]",44.0,1,0.0
2024-07,NCL,"(1,5]",0.0,3,12.0
2024-07,NCL,"(30,60]",0.0,2,93.0
2024-07,NCL,"(5,10]",0.0,1,10.0
2024-07,NCL,"(60,120]",0.0,2,154.0
2024-07,NCL,<= -60,149.0,2,0.0
2024-07,REG,"(-1,0]",0.0,21479,0.0
2024-07,REG,"(-10,-5]",50294.0,8519,0.0
