mese,categoria,cod_stazione,ruolo,bucket_ritardo_arrivo,count,minuti_ritardo,minuti_anticipo
2026-02,EC,S01003,arrivo,"(-1,0]",2,0,0
2026-02,EC,S01003,arrivo,"(-10,-5]",2,0,17
2026-02,EC,S01003,arrivo,"(-15,-10]",2,0,22
2026-02,EC,S01003,arrivo,"(-5,-1]",2,0,8
2026-02,EC,S01003,arrivo,"(0,1]",1,1,0
2026-02,EC,S01003,arrivo,"(1,5]",2,8,0
2026-02,EC,S01003,arrivo,"(10,15]",1,14,0
2026-02,EC,S01003,arrivo,"(5,10]",2,14,0
2026-02,EC,S01003,arrivo,"(60,120]",1,64,0
2026-02,EC,S01003,partenza,"(-1,0]",1,0,0
2026-02,EC,S01003,partenza,"(-5,-1]",1,0,2
2026-02,EC,S01003,partenza,"(1,5]",3,12,0
2026-02,EC,S01003,partenza,"(10,15]",3,35,0
2026-02,EC,S01003,partenza,"(15,30]",4,93,0
2026-02,EC,S01003,partenza,"(30,60]",1,42,0
2026-02,EC,S01003,partenza,"(5,10]",3,23,0
2026-02,EC,S01301,arrivo,"(-5,-1]",15,0,45
2026-02,EC,S01301,arrivo,"(0,1]",7,7,0
2026-02,EC,S01301,arrivo,"(1,5]",3,10,0
2026-02,EC,S01301,arrivo,"(15,30]",1,27,0
2026-02,EC,S01301,arrivo,"(5,10]",1,7,0
2026-02,EC,S01301,partenza,"(-1,0]",3,0,0
2026-02,EC,S01301,partenza,"(-10,-5]",1,0,5
2026-02,EC,S01301,partenza,"(-5,-1]",11,0,24
2026-02,EC,S01301,partenza,"(0,1]",4,4,0
2026-02,EC,S01301,partenza,"(1,5]",3,15,0
2026-02,EC,S01301,partenza,"(10,15]",1,14,0
2026-02,EC,S01301,partenza,"(15,30]",1,18,0
2026-02,EC,S01301,partenza,"(30,60]",1,33,0
2026-02,EC,S01301,partenza,"(5,10]",2,15,0
2026-02,EC,S01700,arrivo,"(-1,0]",4,0,0
2026-02,EC,S01700,arrivo,"(-10,-5]",1,0,5
2026-02,EC,S01700,arrivo,"(-5,-1]",10,0,23
2026-02,EC,S01700,arrivo,"(0,1]",4,4,0
2026-02,EC,S01700,arrivo,"(1,5]",5,22,0
2026-02,EC,S01700,arrivo,"(10,15]",3,35,0
2026-02,EC,S01700,arrivo,"(15,30]",2,52,0
2026-02,EC,S01700,arrivo,"(30,60]",1,42,0
2026-02,EC,S01700,arrivo,"(5,10]",5,38,0
2026-02,EC,S01700,partenza,"(-1,0]",1,0,0
2026-02,EC,S01700,partenza,"(-10,-5]",2,0,17
2026-02,EC,S01700,partenza,"(-15,-10]",1,0,12
2026-02,EC,S01700,partenza,"(-5,-1]",15,0,49
2026-02,EC,S01700,partenza,"(0,1]",7,7,0
2026-02,EC,S01700,partenza,"(1,5]",4,16,0
2026-02,EC,S01700,partenza,"(10,15]",1,14,0
2026-02,EC,S01700,partenza,"(15,30]",1,27,0
2026-02,EC,S01700,partenza,"(5,10]",2,14,0
2026-02,EC,S01700,partenza,"(60,120]",1,64,0
2026-02,EC,S02001,arrivo,"(-1,0]",1,0,0
2026-02,EC,S02001,arrivo,"(-5,-1]",2,0,6
2026-02,EC,S02001,arrivo,"(0,1]",2,2,0
2026-02,EC,S02001,arrivo,"(1,5]",4,13,0
2026-02,EC,S02001,arrivo,"(10,15]",1,12,0
2026-02,EC,S02001,arrivo,"(15,30]",1,18,0
2026-02,EC,S02001,arrivo,"(5,10]",1,9,0
2026-02,EC,S02001,partenza,"(-10,-5]",1,0,6
2026-02,EC,S02001,partenza,"(-5,-1]",4,0,10
2026-02,EC,S02001,partenza,"(0,1]",2,2,0
2026-02,EC,S02001,partenza,"(15,30]",3,66,0
2026-02,EC,S02001,partenza,"(30,60]",2,78,0
2026-02,EC,S02001,partenza,"(5,10]",1,8,0
2026-02,EC,S02026,arrivo,"(-10,-5]",1,0,6
2026-02,EC,S02026,arrivo,"(-5,-1]",2,0,5
2026-02,EC,S02026,partenza,"(-5,-1]",1,0,4
2026-02,EC,S02026,partenza,"(0,1]",1,1,0
2026-02,EC,S02026,partenza,"(1,5]",1,3,0
2026-02,EC,S02430,arrivo,"(-5,-1]",1,0,3
2026-02,EC,S02430,arrivo,"(0,1]",1,1,0
2026-02,EC,S02430,arrivo,"(30,60]",1,39,0
2026-02,EC,S02430,partenza,"(-1,0]",1,0,0
2026-02,EC,S02430,partenza,"(-5,-1]",2,0,6
