mese,tipo_giorno,fascia_oraria,categoria,cancellate_tot,effettuate,info_mancante,minuti_anticipo_tot,oltre_60,minuti_netti_tot,corse_osservate,in_orario,oltre_10,cancellate,in_ritardo,oltre_15,oltre_5,parzialmente_cancellate,soppresse,oltre_30,in_anticipo,minuti_ritardo_tot,ritardo_mediano,p95,ritardo_medio,p90
2024-06,infrasettimanale,mattina,EC,0,27,0,75.0,1,152.0,27,6,3,0,6,2,6,0,0,1,15,227.0,-3.0,14.199999999999996,5.62962962962963,9.400000000000002
2024-06,infrasettimanale,mattina,IC,0,382,0,321.0,17,4345.0,382,126,122,0,190,84,190,0,0,47,66,4666.0,4.0,54.89999999999998,11.37434554973822,36.0
2024-06,infrasettimanale,mattina,ICN,0,7,0,90.0,1,-23.0,7,0,1,0,1,1,1,0,0,1,6,67.0,-14.0,46.59999999999995,-3.2857142857142856,26.200000000000024
2024-06,infrasettimanale,mattina,MET,0,645,0,651.0,2,286.0,645,277,16,0,31,13,31,0,0,4,327,937.0,-1.0,4.0,0.4503937007874016,3.0
2024-06,infrasettimanale,mattina,NCL,0,2,0,7.0,0,-7.0,2,0,0,0,0,0,0,0,0,0,1,0.0,-7.0,-7.0,-7.0,-7.0
2024-06,infrasettimanale,mattina,REG,0,24062,0,22274.0,52,40760.0,24062,11270,1330,0,3745,732,3745,0,0,232,8939,63034.0,1.0,10.0,1.701594723219504,6.0
2024-06,infrasettimanale,mattina,,0,2304,0,2178.0,100,26910.0,2304,572,776,0,1180,530,1180,0,0,270,552,29088.0,5.0,57.0,11.6796875,35.90000000000009
2024-06,infrasettimanale,notte,EN,0,15,0,7.0,3,916.0,15,0,13,0,13,13,13,0,0,9,2,923.0,38.0,207.39999999999984,61.06666666666667,127.99999999999996
2024-06,infrasettimanale,notte,EXP,0,1,0,6.0,0,-6.0,1,0,0,0,0,0,0,0,0,0,1,0.0,-6.0,-6.0,-6.0,-6.0
2024-06,infrasettimanale,notte,IC,0,208,0,282.0,5,1627.0,208,52,68,0,92,39,92,0,0,20,64,1909.0,3.0,34.64999999999998,7.822115384615385,26.600000000000023
2024-06,infrasettimanale,notte,ICN,0,21,0,117.0,1,-18.0,21,8,1,0,3,1,3,0,0,1,10,99.0,0.0,7.0,-0.8571428571428571,5.0
2024-06,infrasettimanale,notte,MET,0,243,0,338.0,0,-148.0,243,77,5,0,9,1,9,0,0,0,148,190.0,-1.0,4.0,-0.6324786324786325,3.0
2024-06,infrasettimanale,notte,NCL,0,2,0,47.0,0,-47.0,2,0,0,0,0,0,0,0,0,0,2,0.0,-23.5,-23.05,-23.5,-23.1
2024-06,infrasettimanale,notte,REG,0,9852,0,11337.0,21,11732.0,9852,4085,493,0,1313,282,1313,0,0,101,4409,23069.0,0.0,10.0,1.1962883654532477,6.0
2024-06,infrasettimanale,notte,,0,782,0,1106.0,16,4858.0,782,222,180,0,290,110,290,0,0,54,268,5964.0,2.0,36.0,6.228205128205128,19.200000000000045
2024-06,infrasettimanale,pomeriggio,EC,0,104,0,32.0,4,1371.0,104,24,43,0,65,25,65,0,0,15,15,1403.0,7.0,47.7,13.182692307692308,35.400000000000006
2024-06,infrasettimanale,pomeriggio,EN,0,6,0,0.0,1,107.0,6,1,2,0,5,1,5,0,0,1,0,107.0,9.0,51.25,17.833333333333332,38.5
2024-06,infrasettimanale,pomeriggio,EXP,0,2,0,0.0,0,8.0,2,1,0,0,1,0,1,0,0,0,0,8.0,4.0,7.6,4.0,7.2
2024-06,infrasettimanale,pomeriggio,IC,0,336,0,194.0,16,4695.0,336,74,140,0,203,105,203,0,0,48,59,4889.0,7.0,56.0,13.973214285714286,39.0
2024-06,infrasettimanale,pomeriggio,ICN,0,1,0,6.0,0,-6.0,1,0,0,0,0,0,0,0,0,0,1,0.0,-6.0,-6.0,-6.0,-6.0
