mese,categoria,soppresse,oltre_15,parzialmente_cancellate,oltre_30,minuti_netti_tot,effettuate,minuti_ritardo_tot,cancellate_tot,oltre_10,oltre_60,corse_osservate,oltre_5,in_orario,cancellate,info_mancante,in_ritardo,minuti_anticipo_tot,in_anticipo,ritardo_mediano,p90,p95,ritardo_medio
2024-06,EC,0,89,0,47,4783.0,447,5168.0,0,140,17,447,221,117,0,0,221,385.0,106,4.0,30.0,47.69999999999993,10.772522522522525
2024-06,EN,0,21,0,16,1796.0,35,1805.0,0,22,8,35,28,4,0,0,28,9.0,3,22.0,136.00000000000009,214.4999999999997,51.31428571428572
2024-06,EXP,0,4,0,3,421.0,16,502.0,0,5,2,16,7,2,0,0,7,81.0,7,2.0,113.5,197.5,26.3125
2024-06,IC,0,548,0,293,27394.0,2241,29958.0,0,748,109,2241,1110,555,0,0,1110,2564.0,567,4.0,36.90000000000009,59.0,12.273297491039427
2024-06,ICN,0,74,0,37,3230.0,345,4019.0,0,102,15,345,145,86,0,0,145,789.0,114,3.0,30.600000000000023,58.80000000000001,9.36231884057971
2024-06,IR,0,1,0,1,43.0,1,43.0,0,1,0,1,1,0,0,0,1,0.0,0,43.0,43.0,43.0,43.0
2024-06,MET,0,73,0,11,765.0,4864,6261.0,0,143,2,4864,319,1913,0,0,319,5496.0,2548,-1.0,3.0,6.0,0.1600418410041841
2024-06,NCL,0,1,0,0,-269.0,14,19.0,0,1,0,14,1,1,0,0,1,288.0,11,-24.0,-0.1999999999999993,7.599999999999973,-20.692307692307697
2024-06,REG,0,6233,0,2043,305856.0,156633,459397.0,0,10903,445,156633,26864,68338,0,0,26864,153541.0,59378,1.0,7.0,12.0,1.9786259541984728
2024-06,,0,1422,0,755,72755.0,5910,78687.0,0,1968,304,5910,2942,1491,0,0,2942,5932.0,1448,4.946531302876481,36.50006768189509,62.06830795262268,12.37213736361693
2024-07,DIR,0,1,0,1,37.0,2,38.0,0,1,0,2,1,0,0,0,1,1.0,1,18.5,34.1,36.05,18.5
2024-07,EC,0,174,0,88,7757.0,617,8276.0,0,244,24,617,346,112,0,0,346,519.0,155,6.0,38.80000000000007,54.0,12.65415986949429
2024-07,EN,0,26,0,16,1570.0,52,1590.0,0,32,9,52,40,5,0,0,40,20.0,7,15.0,68.6,107.9,30.192307692307693
2024-07,EXP,0,5,0,4,83.0,22,243.0,0,7,1,22,9,2,0,0,9,160.0,11,-0.5,32.800000000000004,47.24999999999999,3.772727272727273
2024-07,IC,0,893,0,483,46358.0,2914,49119.0,0,1178,175,2914,1654,637,0,0,1654,2761.0,604,6.0,46.0,64.0,16.01312607944732
2024-07,ICN,0,87,0,53,4742.0,384,5434.0,0,123,24,384,173,90,0,0,173,692.0,121,3.0,43.0,67.84999999999997,12.348958333333334
2024-07,IR,0,3,0,2,180.0,7,180.0,0,5,1,7,5,2,0,0,5,0.0,0,12.0,60.40000000000002,74.19999999999996,25.714285714285715
2024-07,MET,0,86,0,33,1007.0,7565,9267.0,0,152,9,7565,415,3104,0,0,415,8260.0,3856,-1.0,3.0,5.0,0.1365423728813559
2024-07,NCL,0,4,0,4,76.0,11,269.0,0,5,2,11,7,1,0,0,7,193.0,3,5.0,62.0,77.0,6.909090909090909
2024-07,REG,0,9464,0,2919,451282.0,217105,657127.0,0,16530,521,217105,39232,93699,0,0,39232,205845.0,81540,1.0,8.0,13.0,2.1041632668286154
2024-07,,0,4884,0,2426,230866.0,15666,243968.0,0,6366,840,15666,9008,3614,0,0,9008,13102.0,2984,6.0,41.0,63.0,14.793412789952582
2024-08,DIR,0,0,0,0,1.0,1,1.0,0,0,0,1,0,1,0,0,0,0.0,0,1.0,1.0,1.0,1.0
2024-08,EC,0,123,0,61,5324.0,587,5991.0,0,172,18,587,260,135,0,0,260,667.0,188,3.0,31.0,42.0,9.132075471698114
2024-08,EN,0,27,0,21,1821.0,51,1830.0,0,29,9,51,37,10,0,0,37,9.0,4,17.0,81.0,110.5,35.705882352941174
2024-08,EXP,0,6,0,3,291.0,51,458.0,0,11,1,51,22,10,0,0,22,167.0,19,3.0,18.0,27.5,5.705882352941177
2024-08,IC,0,756,0,380,36856.0,3096,41580.0,0,1029,161,3096,1458,706,0,0,1458,4724.0,925,4.0,37.0,61.0,11.931369375202332
2024-08,ICN,0,74,0,35,2252.0,453,3675.0,0,97,12,453,144,109,0,0,144,1423.0,200,0.0,25.0,45.0,4.97130242825607
2024-08,IR,0,4,0,2,221.0,10,226.0,0,5,2,10,7,1,0,0,7,5.0,2,10.5,67.5,74.24999999999999,22.1
2024-08,MET,0,50,0,16,-2682.0,7774,7000.0,0,98,1,7774,291,3189,0,0,291,9682.0,4228,-1.0,2.0,4.0,-0.3479501816294759
2024-08,NCL,0,8,0,7,534.0,16,693.0,0,9,6,16,10,0,0,0,10,159.0,6,17.0,97.5,128.5,33.375
2024-08,REG,0,6164,0,2025,248915.0,199347,470765.0,0,10570,432,199347,26273,86543,0,0,26273,221850.0,85884,0.0,6.0,10.0,1.2527176648213387
2024-08,,0,2680,0,1244,117108.0,14038,139358.0,0,3828,392,14038,5902,3762,0,0,5902,22250.0,4360,3.0,27.0,45.0,8.350541928123217
2024-09,EC,0,249,0,111,10385.0,834,11275.0,0,335,38,834,437,150,0,0,437,890.0,238,6.0,37.0,54.59999999999991,12.587878787878788
2024-09,EN,0,29,0,19,2028.0,71,2140.0,0,37,10,71,52,6,0,0,52,112.0,13,10.0,103.0,154.5,28.56338028169014
2024-09,EXP,0,8,0,4,415.0,31,491.0,0,11,2,31,14,10,0,0,14,76.0,7,4.0,47.0,64.0,13.387096774193548
2024-09,IC,0,654,0,315,29343.0,2927,33730.0,0,933,97,2927,1389,731,0,0,1389,4387.0,801,4.0,31.0,50.0,10.04553235193427
2024-09,ICN,0,75,0,46,3374.0,410,4447.0,0,101,22,410,138,95,0,0,138,1073.0,177,1.0,34.10000000000002,64.0,8.229268292682926
2024-09,IR,0,6,0,2,202.0,8,202.0,0,6,1,8,6,2,0,0,6,0.0,0,20.5,51.39999999999999,61.19999999999999,25.25
2024-09,MET,0,55,0,14,914.0,6511,7651.0,0,114,3,6511,392,2963,0,0,392,6737.0,3061,0.0,3.0,5.0,0.1424563591022443
2024-09,NCL,0,8,0,8,855.0,17,1149.0,0,8,8,17,8,0,0,0,8,294.0,8,35.5,185.0,204.5,53.4375
2024-09,REG,0,9936,0,3227,508944.0,215735,703672.0,0,17121,730,215735,42170,93815,0,0,42170,194728.0,77074,1.0,8.0,14.0,2.388746779061199
2024-09,,0,3976,0,1828,181862.0,15252,192996.0,0,5558,554,15252,8278,3916,0,0,8278,11134.0,3022,6.0,34.0,51.0,11.95202418506835
2024-10,DIR,0,0,0,0,11.0,1,11.0,0,1,0,1,1,0,0,0,1,0.0,0,11.0,11.0,11.0,11.0
2024-10,EC,0,254,0,117,11242.0,995,12532.0,0,359,40,995,502,174,0,0,502,1290.0,314,5.0,35.0,50.09999999999991,11.355555555555558
2024-10,EN,0,47,0,23,3834.0,101,4041.0,0,56,17,101,63,16,0,0,63,207.0,22,13.0,130.0,207.0,37.96039603960397
2024-10,EXP,0,10,0,6,492.0,29,559.0,0,10,5,29,15,9,0,0,15,67.0,5,5.0,70.6,75.39999999999999,16.96551724137931
2024-10,IC,0,633,0,281,29890.0,2974,33745.0,0,932,114,2974,1433,757,0,0,1433,3855.0,767,4.0,28.0,49.0,10.108217788298951
2024-10,ICN,0,57,0,39,1830.0,411,3538.0,0,78,18,411,105,88,0,0,105,1708.0,218,-1.0,28.0,53.0,4.452554744525547
2024-10,IR,0,0,0,0,5.0,1,5.0,0,0,0,1,1,0,0,0,1,0.0,0,5.0,5.0,5.0,5.0
2024-10,MET,0,115,0,31,4453.0,6788,10802.0,0,207,6,6788,550,3035,0,0,550,6349.0,3074,0.0,4.0,7.0,0.668719026880913
2024-10,NCL,0,1,0,1,-119.0,9,47.0,0,2,0,9,2,2,0,0,2,166.0,5,-13.0,15.600000000000003,24.79999999999999,-13.22222222222222
2024-10,REG,0,10060,0,3253,571432.0,230693,772248.0,0,18002,732,230693,47657,101258,0,0,47657,200816.0,78958,1.0,8.0,13.0,2.507677522128554
2024-10,,0,4002,0,1870,191462.0,15452,202098.0,0,5564,610,15452,8372,4006,0,0,8372,10636.0,3038,5.0,34.0,52.0,12.41969382459782
2024-11,DIR,0,0,0,0,6.0,1,6.0,0,0,0,1,1,0,0,0,1,0.0,0,6.0,6.0,6.0,6.0
2024-11,EC,0,224,0,98,9168.0,900,10308.0,0,320,24,900,437,169,0,0,437,1140.0,286,4.0,32.89999999999998,45.0,10.278026905829597
2024-11,EN,0,34,0,16,1592.0,100,1970.0,0,40,11,100,53,14,0,0,53,378.0,33,6.0,61.300000000000026,82.49999999999996,15.92
2024-11,EXP,0,3,0,2,310.0,26,345.0,0,3,1,26,10,10,0,0,10,35.0,6,3.0,12.0,40.5,11.923076923076923
2024-11,IC,0,578,0,287,25852.0,2918,31130.0,0,836,103,2918,1232,698,0,0,1232,5278.0,972,3.0,29.0,49.0,8.908339076498967
2024-11,ICN,0,48,0,30,942.0,386,2877.0,0,63,16,386,102,71,0,0,102,1935.0,213,-2.0,21.5,47.0,2.4404145077720205
2024-11,IR,0,7,0,5,490.0,14,494.0,0,10,2,14,13,0,0,0,13,4.0,1,12.5,100.00000000000009,125.0,35.0
2024-11,MET,0,105,0,20,4228.0,6466,10019.0,0,207,2,6466,571,2885,0,0,571,5791.0,2816,0.0,4.0,7.0,0.6741071428571429
2024-11,NCL,0,2,0,2,32.0,10,168.0,0,3,2,10,3,0,0,0,3,136.0,5,-4.5,76.1,78.55,4.0
2024-11,REG,0,9277,0,3126,475428.0,216597,682672.0,0,15984,707,216597,40987,92773,0,0,40987,207244.0,78451,1.0,8.0,13.0,2.240355118254944
2024-11,,0,3246,0,1588,154508.0,14608,168894.0,0,4544,504,14608,7000,3846,0,0,7000,14386.0,3684,4.0,31.0,50.0,10.63372333103923
2024-12,EC,0,176,0,75,6829.0,1040,8481.0,0,264,21,1040,393,236,0,0,393,1652.0,404,2.0,23.0,36.39999999999998,6.610842207163601
2024-12,EN,0,29,0,16,998.0,96,1461.0,0,34,7,96,41,17,0,0,41,463.0,36,3.5,54.0,71.39999999999998,10.617021276595745
2024-12,EXP,0,3,0,2,123.0,13,133.0,0,4,0,13,5,1,0,0,5,10.0,2,7.5,42.8,44.89999999999999,15.375
2024-12,IC,0,495,0,244,22358.0,2871,27852.0,0,716,91,2871,1107,682,0,0,1107,5494.0,1061,2.0,24.0,44.0,7.844912280701754
2024-12,ICN,0,57,0,37,1407.0,469,3508.0,0,78,17,469,124,99,0,0,124,2101.0,246,-1.0,18.0,43.0,3.0
2024-12,IR,0,3,0,2,191.0,6,201.0,0,3,2,6,3,1,0,0,3,10.0,2,15.5,85.0,97.0,31.83333333333333
2024-12,MET,0,83,0,17,1511.0,6295,8254.0,0,162,3,6295,446,2695,0,0,446,6743.0,3099,0.0,3.0,6.0,0.2421474358974359
2024-12,NCL,0,4,0,2,109.0,13,254.0,0,6,1,13,7,1,0,0,7,145.0,5,7.0,43.20000000000002,82.19999999999987,8.384615384615385
2024-12,REG,0,7353,0,2388,376461.0,208083,581829.0,0,13095,487,208083,35242,91451,0,0,35242,205368.0,79579,1.0,7.0,11.0,1.825070780328886
2024-12,,0,2730,0,1226,121078.0,14962,137380.0,0,3930,350,14962,6278,4358,0,0,6278,16302.0,4318,3.0,25.0,40.0,8.096696536043869
