giorno,categoria,cod_partenza,cod_arrivo,corse_osservate,effettuate,cancellate,soppresse,parzialmente_cancellate,info_mancante,in_orario,in_ritardo,in_anticipo,oltre_5,oltre_10,oltre_15,oltre_30,oltre_60,minuti_ritardo_tot,minuti_anticipo_tot,minuti_netti_tot,ritardo_medio,ritardo_mediano,p90,p95,cancellate_tot,nome_partenza,nome_arrivo
2026-02-13,EXP,S08406,S07113,1,1,0,0,0,0,0,1,0,1,1,0,0,0,11,0,11,11.0,11.0,11.0,11.0,0,ROMA OSTIENSE,ANCONA
2026-02-13,FR,S01700,S11781,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,2.0,2.0,2.0,2.0,0,MILANO CENTRALE,REGGIO DI CALABRIA CENTRALE
2026-02-13,FR,S08409,S01700,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,ROMA TERMINI,MILANO CENTRALE
2026-02-13,IC,S01700,S04501,1,1,0,0,0,0,0,1,0,1,0,0,0,0,7,0,7,7.0,7.0,7.0,7.0,0,MILANO CENTRALE,VENTIMIGLIA
2026-02-13,IC,S01700,S06000,1,1,0,0,0,0,0,1,0,1,1,1,0,0,29,0,29,29.0,29.0,29.0,29.0,0,MILANO CENTRALE,LA SPEZIA CENTRALE
2026-02-13,IC,S01700,S07226,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,-7,-7.0,-7.0,-7.0,-7.0,0,MILANO CENTRALE,TERNI
2026-02-13,IC,S01700,S09818,1,1,0,0,0,0,0,1,0,1,1,0,0,0,12,0,12,12.0,12.0,12.0,12.0,0,MILANO CENTRALE,SALERNO
2026-02-13,IC,S01700,S12301,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,MILANO CENTRALE,MESSINA CENTRALE
2026-02-13,IC,S08409,S11781,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,10,-10,-10.0,-10.0,-10.0,-10.0,0,ROMA TERMINI,REGGIO DI CALABRIA CENTRALE
2026-02-13,IC,S08409,S12301,2,2,0,0,0,0,0,2,0,2,2,2,1,0,75,0,75,37.5,37.5,47.5,48.75,0,ROMA TERMINI,MESSINA CENTRALE
