giorno,ora,categoria,cod_stazione,corse_osservate,effettuate,cancellate,soppresse,parzialmente_cancellate,cancellate_tot,info_mancante,in_orario,in_ritardo,in_anticipo,oltre_5,oltre_10,oltre_15,oltre_30,oltre_60,minuti_ritardo_tot,minuti_anticipo_tot,minuti_netti_tot,ritardo_medio,ritardo_mediano,p90,p95,ruolo,nome_stazione
2026-02-12,13:00,IC,S01700,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,7,0,7,7.0,7.0,7.0,7.0,nodo,MILANO CENTRALE
2026-02-12,13:00,IC,S09818,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,7,0,7,7.0,7.0,7.0,7.0,nodo,SALERNO
2026-02-12,14:00,FR,S01700,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,96,0,96,96.0,96.0,96.0,96.0,nodo,MILANO CENTRALE
2026-02-12,14:00,FR,S11781,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,96,0,96,96.0,96.0,96.0,96.0,nodo,REGGIO DI CALABRIA CENTRALE
2026-02-12,15:00,IC,S00219,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,21,0,21,21.0,21.0,21.0,21.0,nodo,TORINO PORTA NUOVA
2026-02-12,15:00,IC,S11781,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,21,0,21,21.0,21.0,21.0,21.0,nodo,REGGIO DI CALABRIA CENTRALE
2026-02-12,16:00,IC,S04725,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,53,0,53,53.0,53.0,53.0,53.0,nodo,SESTRI LEVANTE
2026-02-12,16:00,IC,S08409,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,78,0,78,78.0,78.0,78.0,78.0,nodo,ROMA TERMINI
2026-02-12,16:00,IC,S09218,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,53,0,53,53.0,53.0,53.0,53.0,nodo,NAPOLI CENTRALE
2026-02-12,16:00,IC,S11781,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,78,0,78,78.0,78.0,78.0,78.0,nodo,REGGIO DI CALABRIA CENTRALE
2026-02-12,16:00,ICN,S01700,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,8,0,8,8.0,8.0,8.0,8.0,nodo,MILANO CENTRALE
2026-02-12,16:00,ICN,S12301,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,8,0,8,8.0,8.0,8.0,8.0,nodo,MESSINA CENTRALE
2026-02-12,17:00,IC,S00219,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,5,-5,-5.0,-5.0,-5.0,-5.0,nodo,TORINO PORTA NUOVA
2026-02-12,17:00,IC,S01700,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1.0,1.0,1.0,1.0,nodo,MILANO CENTRALE
2026-02-12,17:00,IC,S07226,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1.0,1.0,1.0,1.0,nodo,TERNI
