mese,categoria,cod_stazione,cancellate_tot,effettuate,info_mancante,minuti_anticipo_tot,oltre_60,minuti_netti_tot,corse_osservate,in_orario,oltre_10,cancellate,in_ritardo,oltre_15,oltre_5,parzialmente_cancellate,soppresse,oltre_30,in_anticipo,minuti_ritardo_tot,ruolo,nome_stazione,ritardo_mediano,p95,ritardo_medio,p90
2024-06,EC,N_25B9CF10B7D2,0,74,0,23.0,5,1086.0,74,25,28,0,42,17,42,0,0,9,7,1109.0,nodo,BOLOGNA C.LE,7.0,52.9999999999999,14.675675675675672,30.999999999999982
2024-06,EC,N_26FAC2401D1E,0,90,0,76.0,1,850.0,90,21,32,0,47,20,47,0,0,11,22,926.0,nodo,VENEZIA SANTA LUCIA,4.5,39.19999999999997,9.340642529321771,27.099999999999984
2024-06,EC,S01003,0,8,0,11.0,0,73.0,8,0,4,0,5,3,5,0,0,0,3,84.0,nodo,DOMODOSSOLA,9.5,21.15,10.766666666666666,19.8
2024-06,EC,S01301,0,155,0,64.0,3,1260.0,155,52,43,0,74,24,74,0,0,12,26,1324.0,nodo,CHIASSO,5.0,32.0,8.42809946096331,22.5
2024-06,EC,S01700,0,173,0,75.0,2,1512.0,173,52,52,0,89,35,89,0,0,15,29,1587.0,nodo,MILANO CENTRALE,5.0,35.899999999999984,8.995339641293603,23.5
2024-06,EC,S02001,0,260,0,310.0,12,2807.0,260,63,78,0,120,48,120,0,0,27,77,3117.0,nodo,BRENNERO,3.75,43.825,10.796153846153846,27.25000000000002
2024-06,EC,S02026,0,40,0,83.0,1,366.0,40,4,10,0,18,8,18,0,0,4,18,449.0,nodo,BOLZANO,2.25,29.37500000000005,9.15,21.500000000000007
2024-06,EC,S02430,0,45,0,63.0,4,795.0,45,10,15,0,21,10,21,0,0,8,14,858.0,nodo,VERONA PORTA NUOVA,5.0,64.57499999999997,17.843873517786562,38.95000000000002
2024-06,EC,S02589,0,2,0,4.0,0,31.0,2,0,1,0,1,1,1,0,0,1,1,35.0,nodo,VENEZIA MESTRE,15.5,15.5,15.5,15.5
2024-06,EC,S03015,0,1,0,0.0,1,61.0,1,0,1,0,1,1,1,0,0,1,0,61.0,nodo,TARVISIO BOSCOVERDE,61.0,61.0,61.0,61.0
2024-06,EC,S05071,0,45,0,61.0,4,664.0,45,7,15,0,23,10,23,0,0,5,15,725.0,nodo,RIMINI,3.5,99.67499999999993,14.859683794466406,29.200000000000014
2024-06,EC,S06000,0,1,0,0.0,1,61.0,1,0,1,0,1,1,1,0,0,1,0,61.0,nodo,LA SPEZIA CENTRALE,61.0,61.0,61.0,61.0
2024-06,EN,N_25B9CF10B7D2,0,1,0,0.0,0,1.0,1,1,0,0,0,0,0,0,0,0,0,1.0,nodo,BOLOGNA C.LE,1.0,1.0,1.0,1.0
2024-06,EN,S01717,0,1,0,0.0,1,160.0,1,0,1,0,1,1,1,0,0,1,0,160.0,nodo,BRESCIA,160.0,160.0,160.0,160.0
2024-06,EN,S02581,0,26,0,9.0,3,795.0,26,3,14,0,20,14,20,0,0,9,3,804.0,nodo,PADOVA,14.25,81.20000000000005,27.691666666666663,56.90000000000002
2024-06,EN,S03015,0,8,0,0.0,5,1000.0,8,0,8,0,8,7,8,0,0,7,0,1000.0,nodo,TARVISIO BOSCOVERDE,167.5,195.1,151.06666666666666,192.2
2024-06,EN,S04725,0,5,0,0.0,3,729.0,5,0,5,0,5,4,5,0,0,4,0,729.0,nodo,SESTRI LEVANTE,167.5,194.95,172.0,191.9
2024-06,EN,S06000,0,28,0,9.0,4,906.0,28,3,16,0,22,16,22,0,0,11,3,915.0,nodo,LA SPEZIA CENTRALE,14.5,86.27500000000002,31.8375,67.05000000000001
2024-06,EN,S08409,0,1,0,0.0,0,1.0,1,1,0,0,0,0,0,0,0,0,0,1.0,nodo,ROMA TERMINI,1.0,1.0,1.0,1.0
2024-06,EXP,N_25B9CF10B7D2,0,2,0,3.0,0,5.0,2,0,0,0,1,0,1,0,0,0,1,8.0,nodo,BOLOGNA C.LE,2.5,2.5,2.5,2.5
2024-06,EXP,N_26FAC2401D1E,0,4,0,0.0,1,270.0,4,1,2,0,3,2,3,0,0,2,0,270.0,nodo,VENEZIA SANTA LUCIA,19.0,102.25,45.0,93.0
2024-06,EXP,N_DEBAB2A3D4C0,0,2,0,0.0,0,18.0,2,1,1,0,1,0,1,0,0,0,0,18.0,nodo,REGGIO CALABRIA CENTRALE,9.0,9.0,9.0,9.0
2024-06,EXP,S01700,0,2,0,3.0,0,5.0,2,0,0,0,1,0,1,0,0,0,1,8.0,nodo,MILANO CENTRALE,2.5,2.5,2.5,2.5
2024-06,EXP,S02001,0,1,0,0.0,1,223.0,1,0,1,0,1,1,1,0,0,1,0,223.0,nodo,BRENNERO,223.0,223.0,223.0,223.0
2024-06,EXP,S02430,0,3,0,0.0,0,47.0,3,1,1,0,2,1,2,0,0,1,0,47.0,nodo,VERONA PORTA NUOVA,11.75,18.275,11.75,17.55
2024-06,EXP,S02550,0,4,0,27.0,1,179.0,4,0,2,0,2,2,2,0,0,1,2,206.0,nodo,CALALZO PIEVE CADORE CORTINA,44.75,97.175,44.75,91.35
2024-06,EXP,S02589,0,1,0,4.0,0,-4.0,1,0,0,0,0,0,0,0,0,0,1,0.0,nodo,VENEZIA MESTRE,-4.0,-4.0,-4.0,-4.0
2024-06,EXP,S04501,0,3,0,44.0,0,-40.0,3,1,0,0,0,0,0,0,0,0,2,4.0,nodo,VENTIMIGLIA,-20.0,-18.2,-20.0,-18.4
