mese,categoria,tipo_giorno,fascia_oraria,cod_stazione,corse_osservate,effettuate,cancellate,soppresse,parzialmente_cancellate,cancellate_tot,info_mancante,in_orario,in_ritardo,in_anticipo,oltre_5,oltre_10,oltre_15,oltre_30,oltre_60,minuti_ritardo_tot,minuti_anticipo_tot,minuti_netti_tot,ritardo_medio,ritardo_mediano,p90,p95,ruolo,nome_stazione
2024-06,,infrasettimanale,mattina,N_188AB87A65BC,44,44,0,0,0,0,0,4,17,23,17,11,6,4,1,356.0,94.0,262.0,3.535632183908046,2.0,13.999999999999998,21.54999999999998,nodo,UDINE
2024-06,,infrasettimanale,mattina,N_244C15F9662C,15,15,0,0,0,0,0,0,13,2,13,10,7,3,0,301.0,3.0,298.0,19.866666666666667,11.0,49.4,51.599999999999994,nodo,SIBARI
2024-06,,infrasettimanale,mattina,N_26FAC2401D1E,253,253,0,0,0,0,0,66,149,38,149,95,57,23,8,2999.0,112.0,2887.0,11.10370012870013,6.0,27.700000000000045,42.75,nodo,VENEZIA SANTA LUCIA
2024-06,,infrasettimanale,mattina,N_29D6951DFB5A,59,59,0,0,0,0,0,11,37,11,37,27,15,5,0,633.0,44.0,589.0,6.121969696969696,3.25,16.90000000000001,19.95,nodo,TRIESTE CENTRALE
2024-06,,infrasettimanale,mattina,N_2B5A38574141,44,44,0,0,0,0,0,3,38,3,38,32,29,16,8,1414.0,6.0,1408.0,31.028571428571432,23.5,61.50000000000001,82.39999999999996,nodo,BARI CENTRALE
2024-06,,infrasettimanale,mattina,N_55C18CEAEA1C,15,15,0,0,0,0,0,5,10,0,10,6,3,2,2,257.0,0.0,257.0,17.133333333333333,5.0,55.999999999999986,77.8,nodo,BENEVENTO
2024-06,,infrasettimanale,mattina,N_607096404A55,3,3,0,0,0,0,0,1,2,0,2,2,1,1,0,44.0,0.0,44.0,14.666666666666666,10.0,26.0,28.0,nodo,SAPRI
2024-06,,infrasettimanale,mattina,N_66EFE7185ACC,45,45,0,0,0,0,0,15,27,3,27,17,9,2,0,388.0,8.0,380.0,7.983333333333333,5.75,16.65,20.999999999999982,nodo,GENOVA P.PRINCIPE
2024-06,,infrasettimanale,mattina,N_6DAD4A05816E,30,30,0,0,0,0,0,11,5,14,5,2,2,1,0,103.0,48.0,55.0,1.4310344827586206,1.0,4.199999999999999,9.499999999999984,nodo,FIRENZE S.M.N.
2024-06,,infrasettimanale,mattina,N_6DCA844AE5BC,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,55.0,0.0,55.0,55.0,55.0,55.0,55.0,nodo,TARANTO
