mese,categoria,cod_stazione,ruolo,corse_osservate,oltre_30,cancellate,oltre_15,oltre_10,cancellate_tot,oltre_5,parzialmente_cancellate,in_anticipo,oltre_60,in_ritardo,minuti_ritardo_tot,soppresse,minuti_netti_tot,effettuate,info_mancante,minuti_anticipo_tot,in_orario,nome_stazione,ritardo_mediano,p95,ritardo_medio,p90
2024-06,EC,N_25B9CF10B7D2,arrivo,37,6,0,11,19,0,26,0,3,3,26,668.0,0,661.0,37,0,7.0,8,BOLOGNA C.LE,10.0,64.19999999999993,17.864864864864863,41.79999999999998
2024-06,EC,N_25B9CF10B7D2,partenza,37,3,0,6,9,0,16,0,4,2,16,441.0,0,425.0,37,0,16.0,17,BOLOGNA C.LE,4.0,41.79999999999988,11.486486486486486,20.19999999999998
2024-06,EC,N_26FAC2401D1E,arrivo,37,4,0,6,11,0,15,0,8,1,15,342.0,0,324.0,37,0,18.0,14,VENEZIA SANTA LUCIA,3.0,38.79999999999996,8.756756756756756,23.39999999999997
2024-06,EC,N_26FAC2401D1E,partenza,53,7,0,14,21,0,32,0,14,0,32,584.0,0,526.0,53,0,58.0,7,VENEZIA SANTA LUCIA,6.0,39.59999999999998,9.924528301886792,30.800000000000004
2024-06,EC,S01003,arrivo,5,0,0,1,2,0,2,0,3,0,2,32.0,0,21.0,5,0,11.0,0,DOMODOSSOLA,-1.0,19.6,4.2,17.200000000000003
2024-06,EC,S01003,partenza,3,0,0,2,2,0,3,0,0,0,3,52.0,0,52.0,3,0,0.0,0,DOMODOSSOLA,20.0,22.7,17.333333333333332,22.399999999999995
2024-06,EC,S01301,arrivo,72,8,0,15,25,0,42,0,14,2,42,782.0,0,748.0,72,0,34.0,15,CHIASSO,6.0,43.0,10.535211267605634,30.0
2024-06,EC,S01301,partenza,83,4,0,9,18,0,32,0,12,1,32,542.0,0,512.0,83,0,30.0,37,CHIASSO,4.0,21.0,6.320987654320987,15.0
2024-06,EC,S01700,arrivo,99,8,0,20,27,0,47,0,12,0,47,833.0,0,803.0,99,0,30.0,38,MILANO CENTRALE,4.0,32.39999999999998,8.278350515463918,21.40000000000001
2024-06,EC,S01700,partenza,74,7,0,15,25,0,42,0,17,2,42,754.0,0,709.0,74,0,45.0,14,MILANO CENTRALE,6.0,39.39999999999999,9.712328767123289,25.599999999999994
2024-06,EC,S02001,arrivo,130,6,0,17,29,0,47,0,49,4,47,1120.0,0,899.0,130,0,221.0,34,BRENNERO,1.5,27.099999999999994,6.915384615384616,16.10000000000001
2024-06,EC,S02001,partenza,130,21,0,31,49,0,73,0,28,8,73,1997.0,0,1908.0,130,0,89.0,29,BRENNERO,6.0,60.55,14.676923076923076,38.400000000000034
2024-06,EC,S02026,arrivo,20,4,0,7,9,0,17,0,1,1,17,431.0,0,429.0,20,0,2.0,2,BOLZANO,8.5,56.05000000000008,21.45,42.80000000000001
2024-06,EC,S02026,partenza,20,0,0,1,1,0,1,0,17,0,1,18.0,0,-63.0,20,0,81.0,2,BOLZANO,-4.0,2.70000000000001,-3.15,0.2000000000000028
2024-06,EC,S02430,arrivo,22,6,0,7,11,0,16,0,3,3,16,572.0,0,568.0,22,0,4.0,3,VERONA PORTA NUOVA,10.0,83.74999999999999,25.818181818181817,58.30000000000004
2024-06,EC,S02430,partenza,23,2,0,3,4,0,5,0,11,1,5,286.0,0,227.0,23,0,59.0,7,VERONA PORTA NUOVA,0.0,45.39999999999996,9.869565217391305,19.60000000000001
2024-06,EC,S02589,arrivo,1,1,0,1,1,0,1,0,0,0,1,35.0,0,35.0,1,0,0.0,0,VENEZIA MESTRE,35.0,35.0,35.0,35.0
2024-06,EC,S02589,partenza,1,0,0,0,0,0,0,0,1,0,0,0.0,0,-4.0,1,0,4.0,0,VENEZIA MESTRE,-4.0,-4.0,-4.0,-4.0
2024-06,EC,S03015,arrivo,1,1,0,1,1,0,1,0,0,1,1,61.0,0,61.0,1,0,0.0,0,TARVISIO BOSCOVERDE,61.0,61.0,61.0,61.0
2024-06,EC,S05071,arrivo,23,3,0,3,5,0,7,0,13,2,7,292.0,0,234.0,23,0,58.0,3,RIMINI,-2.0,81.19999999999993,10.173913043478262,33.000000000000014
2024-06,EC,S05071,partenza,22,2,0,7,10,0,16,0,2,2,16,433.0,0,430.0,22,0,3.0,4,RIMINI,9.0,118.14999999999992,19.545454545454547,25.400000000000013
2024-06,EC,S06000,partenza,1,1,0,1,1,0,1,0,0,1,1,61.0,0,61.0,1,0,0.0,0,LA SPEZIA CENTRALE,61.0,61.0,61.0,61.0
2024-06,EN,N_25B9CF10B7D2,partenza,1,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,1,0,0.0,1,BOLOGNA C.LE,1.0,1.0,1.0,1.0
2024-06,EN,S01717,arrivo,1,1,0,1,1,0,1,0,0,1,1,160.0,0,160.0,1,0,0.0,0,BRESCIA,160.0,160.0,160.0,160.0
2024-06,EN,S02581,arrivo,6,1,0,1,1,0,4,0,0,1,4,134.0,0,134.0,6,0,0.0,2,PADOVA,8.5,77.25,22.33333333333333,54.5
2024-06,EN,S02581,partenza,20,8,0,13,13,0,16,0,3,2,16,670.0,0,661.0,20,0,9.0,1,PADOVA,20.0,85.15000000000008,33.05,59.30000000000003
2024-06,EN,S03015,arrivo,5,4,0,4,5,0,5,0,0,2,5,234.0,0,234.0,5,0,0.0,0,TARVISIO BOSCOVERDE,47.0,75.2,46.8,72.4
2024-06,EN,S03015,partenza,3,3,0,3,3,0,3,0,0,3,3,766.0,0,766.0,3,0,0.0,0,TARVISIO BOSCOVERDE,288.0,315.0,255.3333333333333,312.0
2024-06,EN,S04725,arrivo,2,2,0,2,2,0,2,0,0,2,2,606.0,0,606.0,2,0,0.0,0,SESTRI LEVANTE,303.0,316.5,303.0,315.0
2024-06,EN,S04725,partenza,3,2,0,2,3,0,3,0,0,1,3,123.0,0,123.0,3,0,0.0,0,SESTRI LEVANTE,32.0,73.4,41.0,68.80000000000001
2024-06,EN,S06000,arrivo,20,8,0,13,13,0,16,0,3,2,16,670.0,0,661.0,20,0,9.0,1,LA SPEZIA CENTRALE,20.0,85.15000000000008,33.05,59.30000000000003
2024-06,EN,S06000,partenza,8,3,0,3,3,0,6,0,0,2,6,245.0,0,245.0,8,0,0.0,2,LA SPEZIA CENTRALE,9.0,87.39999999999998,30.625,74.8
2024-06,EN,S08409,arrivo,1,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,1,0,0.0,1,ROMA TERMINI,1.0,1.0,1.0,1.0
2024-06,EXP,N_25B9CF10B7D2,arrivo,1,0,0,0,0,0,0,0,1,0,0,0.0,0,-3.0,1,0,3.0,0,BOLOGNA C.LE,-3.0,-3.0,-3.0,-3.0
2024-06,EXP,N_25B9CF10B7D2,partenza,1,0,0,0,0,0,1,0,0,0,1,8.0,0,8.0,1,0,0.0,0,BOLOGNA C.LE,8.0,8.0,8.0,8.0
2024-06,EXP,N_26FAC2401D1E,arrivo,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0,0.0,1,VENEZIA SANTA LUCIA,0.0,0.0,0.0,0.0
2024-06,EXP,N_26FAC2401D1E,partenza,3,2,0,2,2,0,3,0,0,1,3,270.0,0,270.0,3,0,0.0,0,VENEZIA SANTA LUCIA,38.0,204.5,90.0,186.0
2024-06,EXP,N_DEBAB2A3D4C0,arrivo,1,0,0,0,0,0,0,0,0,0,0,4.0,0,4.0,1,0,0.0,1,REGGIO CALABRIA CENTRALE,4.0,4.0,4.0,4.0
2024-06,EXP,N_DEBAB2A3D4C0,partenza,1,0,0,0,1,0,1,0,0,0,1,14.0,0,14.0,1,0,0.0,0,REGGIO CALABRIA CENTRALE,14.0,14.0,14.0,14.0
2024-06,EXP,S01700,arrivo,1,0,0,0,0,0,1,0,0,0,1,8.0,0,8.0,1,0,0.0,0,MILANO CENTRALE,8.0,8.0,8.0,8.0
