giorno,ora,categoria,bucket_ritardo_arrivo,count,minuti_ritardo,minuti_anticipo
2026-02-13,13:00,IC,"(10,15]",1,12,0
2026-02-13,14:00,FR,"(1,5]",1,2,0
2026-02-13,15:00,ICN,"(-10,-5]",1,0,7
2026-02-13,16:00,IC,"(-15,-10]",1,0,10
2026-02-13,16:00,IC,"(30,60]",1,32,0
2026-02-13,16:00,ICN,"(30,60]",1,44,0
2026-02-13,17:00,IC,"(-10,-5]",2,0,12
2026-02-13,18:00,ICN,"(-1,0]",1,0,0
2026-02-13,19:00,FR,"(-1,0]",1,0,0
2026-02-13,19:00,IC,"(-1,0]",1,0,0
2026-02-13,19:00,ICN,"(5,10]",2,16,0
2026-02-13,20:00,EXP,"(10,15]",1,11,0
2026-02-13,20:00,IC,"(-5,-1]",1,0,2
2026-02-13,20:00,IC,"(15,30]",2,54,0
2026-02-13,20:00,IC,"(5,10]",1,7,0
2026-02-13,20:00,ICN,"(-10,-5]",2,0,13
2026-02-13,20:00,ICN,"(-5,-1]",1,0,3
2026-02-13,20:00,ICN,"(10,15]",2,26,0
2026-02-13,20:00,REG,"(-5,-1]",1,0,2
2026-02-13,21:00,ICN,"(-10,-5]",1,0,6
2026-02-13,21:00,ICN,"(-5,-1]",1,0,2
2026-02-13,21:00,REG,"(1,5]",2,9,0
2026-02-13,21:00,REG,"(5,10]",1,10,0
2026-02-13,22:00,IC,"(-5,-1]",1,0,3
2026-02-13,22:00,ICN,"(-10,-5]",1,0,5
2026-02-13,22:00,REG,"(-1,0]",1,0,0
2026-02-13,22:00,REG,"(-5,-1]",9,0,22
2026-02-13,22:00,REG,"(0,1]",3,3,0
2026-02-13,22:00,REG,"(1,5]",5,18,0
2026-02-13,22:00,REG,"(5,10]",2,15,0
2026-02-13,23:00,IC,"(30,60]",1,50,0
2026-02-13,23:00,ICN,"(-10,-5]",1,0,8
2026-02-13,23:00,REG,"(-1,0]",7,0,0
2026-02-13,23:00,REG,"(-10,-5]",6,0,37
2026-02-13,23:00,REG,"(-5,-1]",27,0,50
2026-02-13,23:00,REG,"(0,1]",11,11,0
2026-02-13,23:00,REG,"(1,5]",11,29,0
2026-02-13,23:00,REG,"(15,30]",1,29,0
2026-02-13,23:00,REG,"(5,10]",5,38,0
2026-02-14,00:00,IC,"(-5,-1]",1,0,2
2026-02-14,00:00,REG,"(-1,0]",3,0,0
2026-02-14,00:00,REG,"(-10,-5]",5,0,29
