mese,categoria,bucket_ritardo_arrivo,count,minuti_ritardo,minuti_anticipo
2025-12,EXP,"(-5,-1]",1,0,4
2025-12,IC,"(-10,-5]",2,0,15
2025-12,IC,"(-15,-10]",1,0,11
2025-12,IC,"(-5,-1]",3,0,6
2025-12,IC,"(1,5]",1,4,0
2025-12,IC,"(10,15]",1,14,0
2025-12,IC,"(30,60]",1,35,0
2025-12,IC,"(60,120]",1,65,0
2025-12,ICN,"(-10,-5]",4,0,23
2025-12,ICN,"(-15,-10]",1,0,11
2025-12,ICN,"(-30,-15]",1,0,22
2025-12,ICN,"(-5,-1]",5,0,13
2025-12,ICN,"(1,5]",3,11,0
2025-12,ICN,"(5,10]",2,19,0
2025-12,MET,"(-5,-1]",2,0,6
2025-12,MET,"(1,5]",1,3,0
2025-12,REG,"(-1,0]",2,0,0
2025-12,REG,"(-10,-5]",3,0,15
2025-12,REG,"(-30,-15]",1,0,16
2025-12,REG,"(-5,-1]",23,0,55
2025-12,REG,"(0,1]",8,8,0
2025-12,REG,"(1,5]",7,21,0
2025-12,REG,"(10,15]",1,13,0
2025-12,REG,"(5,10]",2,13,0
2026-01,EC,"(-1,0]",3,0,0
2026-01,EC,"(-10,-5]",4,0,27
2026-01,EC,"(-15,-10]",2,0,22
2026-01,EC,"(-5,-1]",12,0,27
2026-01,EC,"(0,1]",2,2,0
2026-01,EC,"(1,5]",6,18,0
2026-01,EC,"(10,15]",3,36,0
2026-01,EC,"(15,30]",5,109,0
2026-01,EC,"(30,60]",1,45,0
2026-01,EC,"(5,10]",4,34,0
2026-01,ECFR,"(-10,-5]",1,0,8
2026-01,ECFR,"(-15,-10]",1,0,10
2026-01,ECFR,"(1,5]",1,3,0
2026-01,ECFR,"(10,15]",1,14,0
2026-01,ECFR,"(15,30]",2,49,0
2026-01,ECFR,"(30,60]",1,58,0
2026-01,EN,"(-1,0]",1,0,0
2026-01,EN,"(-10,-5]",1,0,7
2026-01,EN,"(1,5]",1,4,0
2026-01,EN,"(10,15]",1,11,0
2026-01,EN,"(30,60]",1,37,0
2026-01,EN,"(5,10]",2,16,0
2026-01,FA,"(-1,0]",4,0,0
2026-01,FA,"(-10,-5]",4,0,28
2026-01,FA,"(-15,-10]",1,0,10
2026-01,FA,"(-30,-15]",1,0,15
2026-01,FA,"(-5,-1]",1,0,1
2026-01,FA,"(0,1]",1,1,0
2026-01,FA,"(1,5]",5,14,0
2026-01,FA,"(10,15]",2,22,0
2026-01,FA,"(15,30]",2,51,0
2026-01,FA,"(30,60]",1,41,0
2026-01,FA,"(5,10]",1,7,0
2026-01,FA,"(60,120]",1,96,0
2026-01,FA,> 120,1,295,0
2026-01,FB,"(-1,0]",1,0,0
2026-01,FB,"(-10,-5]",1,0,5
2026-01,FB,"(-5,-1]",5,0,14
2026-01,FB,"(0,1]",1,1,0
2026-01,FB,"(1,5]",1,2,0
2026-01,FB,"(10,15]",1,15,0
2026-01,FB,"(15,30]",1,19,0
2026-01,FB,"(30,60]",1,44,0
2026-01,FB,"(5,10]",1,7,0
2026-01,FR,"(-1,0]",6,0,0
2026-01,FR,"(-10,-5]",18,0,113
2026-01,FR,"(-15,-10]",3,0,36
2026-01,FR,"(-30,-15]",2,0,31
2026-01,FR,"(-5,-1]",40,0,102
2026-01,FR,"(0,1]",13,13,0
2026-01,FR,"(1,5]",44,141,0
2026-01,FR,"(10,15]",11,135,0
2026-01,FR,"(15,30]",31,694,0
2026-01,FR,"(30,60]",17,790,0
2026-01,FR,"(5,10]",27,206,0
2026-01,FR,"(60,120]",14,1223,0
2026-01,FR,> 120,3,753,0
2026-01,IC,"(-1,0]",8,0,0
2026-01,IC,"(-10,-5]",18,0,115
2026-01,IC,"(-15,-10]",3,0,36
2026-01,IC,"(-30,-15]",2,0,41
2026-01,IC,"(-5,-1]",16,0,34
2026-01,IC,"(0,1]",7,7,0
2026-01,IC,"(1,5]",15,45,0
2026-01,IC,"(10,15]",5,64,0
2026-01,IC,"(15,30]",7,158,0
2026-01,IC,"(30,60]",2,85,0
2026-01,IC,"(5,10]",15,112,0
2026-01,IC,"(60,120]",3,310,0
2026-01,IC,> 120,1,264,0
2026-01,ICN,"(-1,0]",1,0,0
2026-01,ICN,"(-10,-5]",7,0,52
2026-01,ICN,"(-15,-10]",1,0,12
2026-01,ICN,"(-30,-15]",1,0,16
2026-01,ICN,"(-5,-1]",8,0,22
2026-01,ICN,"(0,1]",1,1,0
2026-01,ICN,"(1,5]",3,7,0
2026-01,ICN,"(10,15]",1,15,0
2026-01,ICN,"(15,30]",2,40,0
2026-01,ICN,"(30,60]",1,46,0
2026-01,ICN,"(5,10]",1,6,0
2026-01,ICN,"(60,120]",1,112,0
2026-01,MET,"(-1,0]",27,0,0
2026-01,MET,"(-10,-5]",16,0,95
2026-01,MET,"(-5,-1]",119,0,218
2026-01,MET,"(0,1]",33,33,0
2026-01,MET,"(1,5]",30,78,0
2026-01,MET,"(10,15]",1,11,0
2026-01,MET,"(15,30]",1,16,0
2026-01,MET,"(30,60]",1,37,0
2026-01,MET,"(5,10]",1,6,0
2026-01,REG,"(-1,0]",913,0,0
2026-01,REG,"(-10,-5]",400,0,2393
2026-01,REG,"(-15,-10]",25,0,273
2026-01,REG,"(-30,-15]",10,0,176
2026-01,REG,"(-5,-1]",3382,0,7057
2026-01,REG,"(0,1]",972,972,0
2026-01,REG,"(1,5]",1791,5417,0
2026-01,REG,"(10,15]",73,944,0
2026-01,REG,"(15,30]",82,1714,0
2026-01,REG,"(30,60]",51,2096,0
2026-01,REG,"(5,10]",387,2804,0
2026-01,REG,"(60,120]",5,423,0
2026-01,REG,> 120,3,465,0
2026-02,EC,"(-1,0]",2,0,0
