giorno,categoria,corse_osservate,effettuate,cancellate,soppresse,parzialmente_cancellate,info_mancante,in_orario,in_ritardo,in_anticipo,oltre_5,oltre_10,oltre_15,oltre_30,oltre_60,minuti_ritardo_tot,minuti_anticipo_tot,minuti_netti_tot,ritardo_medio,ritardo_mediano,p90,p95
2024-06-08 00:00:00,,158,158.0,0.0,0.0,0.0,0.0,8.0,98.0,52.0,59.0,37.0,21.0,6.0,1.0,1099.0,243.0,856.0,5.417721518987341,3.0,18.30000000000001,28.150000000000006
2024-06-08 00:00:00,EC,20,20.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,9.0,5.0,5.0,1.0,0.0,170.0,19.0,151.0,7.55,3.5,22.1,23.65000000000001
2024-06-08 00:00:00,EN,2,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0
2024-06-08 00:00:00,EXP,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,-40.0,-40.0,-40.0,-40.0,-40.0
2024-06-08 00:00:00,IC,78,78.0,0.0,0.0,0.0,0.0,4.0,49.0,25.0,27.0,14.0,9.0,5.0,1.0,567.0,102.0,465.0,5.961538461538462,3.0,18.599999999999994,39.449999999999974
2024-06-08 00:00:00,ICN,15,15.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,2.0,2.0,1.0,1.0,1.0,163.0,78.0,85.0,5.666666666666667,-2.0,7.799999999999997,52.09999999999985
2024-06-08 00:00:00,MET,115,115.0,0.0,0.0,0.0,0.0,14.0,44.0,57.0,7.0,4.0,0.0,0.0,0.0,139.0,127.0,12.0,0.10434782608695652,0.0,3.0,6.0
2024-06-08 00:00:00,NCL,4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,-79.0,-19.75,-23.5,-6.9999999999999964,-4.000000000000007
2024-06-08 00:00:00,REG,4066,4046.0,20.0,0.0,0.0,20.0,421.0,1948.0,1677.0,492.0,237.0,123.0,40.0,10.0,10522.0,4526.0,5996.0,1.4819574888779041,0.0,7.0,12.0
2024-06-09 00:00:00,,249,249.0,0.0,0.0,0.0,0.0,15.0,148.0,86.0,70.0,36.0,25.0,14.0,2.0,1495.0,378.0,1117.0,4.485943775100401,2.0,15.200000000000017,32.599999999999994
2024-06-09 00:00:00,EC,20,20.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,9.0,4.0,3.0,2.0,0.0,187.0,19.0,168.0,8.4,4.0,26.900000000000013,36.15000000000001
2024-06-09 00:00:00,EN,2,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,5.5,5.5,6.699999999999999,6.85
2024-06-09 00:00:00,IC,95,95.0,0.0,0.0,0.0,0.0,7.0,60.0,28.0,39.0,17.0,11.0,5.0,3.0,942.0,108.0,834.0,8.778947368421052,3.0,18.60000000000001,29.599999999999994
2024-06-09 00:00:00,ICN,17,17.0,0.0,0.0,0.0,0.0,1.0,10.0,6.0,6.0,4.0,3.0,2.0,1.0,186.0,27.0,159.0,9.352941176470589,3.0,25.400000000000006,45.99999999999996
2024-06-09 00:00:00,IR,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,43.0,0.0,43.0,43.0,43.0,43.0,43.0
2024-06-09 00:00:00,MET,195,195.0,0.0,0.0,0.0,0.0,21.0,55.0,119.0,2.0,0.0,0.0,0.0,0.0,112.0,263.0,-151.0,-0.7743589743589744,-1.0,2.0,3.0
2024-06-09 00:00:00,NCL,2,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,-27.0,-13.5,-13.5,-2.6999999999999993,-1.3500000000000012
2024-06-09 00:00:00,REG,4805,4795.0,10.0,0.0,0.0,10.0,535.0,2149.0,2111.0,496.0,218.0,124.0,34.0,6.0,10578.0,5449.0,5129.0,1.0696558915537018,0.0,6.0,10.0
2024-06-10 00:00:00,,255,254.0,1.0,0.0,0.0,1.0,1.0,202.0,51.0,149.0,112.0,95.0,68.0,36.0,6353.0,205.0,6148.0,24.20472440944882,8.0,81.40000000000003,105.0
2024-06-10 00:00:00,EC,19,19.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,12.0,4.0,3.0,0.0,0.0,151.0,16.0,135.0,7.105263157894737,7.0,19.199999999999996,24.199999999999996
2024-06-10 00:00:00,EN,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0
2024-06-10 00:00:00,IC,98,98.0,0.0,0.0,0.0,0.0,9.0,64.0,25.0,47.0,37.0,28.0,18.0,9.0,1699.0,103.0,1596.0,16.285714285714285,5.0,50.09999999999998,79.29999999999998
2024-06-10 00:00:00,ICN,13,13.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,6.0,3.0,3.0,1.0,1.0,231.0,21.0,210.0,16.153846153846153,5.0,27.000000000000007,78.59999999999982
2024-06-10 00:00:00,MET,231,231.0,0.0,0.0,0.0,0.0,24.0,84.0,123.0,10.0,3.0,1.0,0.0,0.0,238.0,261.0,-23.0,-0.09956709956709957,-1.0,3.0,4.0
2024-06-10 00:00:00,NCL,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,-24.0,-24.0,-24.0,-24.0,-24.0
2024-06-10 00:00:00,REG,7746,7603.0,143.0,0.0,0.0,143.0,764.0,3986.0,2853.0,1169.0,666.0,488.0,261.0,114.0,36731.0,7504.0,29227.0,3.8441404708667632,1.0,9.0,20.0
2024-06-11 00:00:00,,271,271.0,0.0,0.0,0.0,0.0,18.0,204.0,49.0,122.0,83.0,57.0,31.0,9.0,3184.0,199.0,2985.0,11.014760147601477,5.0,32.0,44.0
2024-06-11 00:00:00,EC,19,19.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,7.0,5.0,4.0,3.0,0.0,194.0,33.0,161.0,8.473684210526315,4.0,34.199999999999996,39.39999999999999
2024-06-11 00:00:00,EN,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,47.0,0.0,47.0,47.0,47.0,47.0,47.0
2024-06-11 00:00:00,IC,97,96.0,1.0,0.0,0.0,1.0,6.0,62.0,28.0,45.0,29.0,22.0,13.0,5.0,1262.0,137.0,1125.0,11.71875,4.0,38.5,55.25
2024-06-11 00:00:00,ICN,16,16.0,0.0,0.0,0.0,0.0,1.0,5.0,10.0,2.0,2.0,1.0,1.0,0.0,55.0,58.0,-3.0,-0.1875,-1.5,7.5,17.25
2024-06-11 00:00:00,MET,223,223.0,0.0,0.0,0.0,0.0,22.0,80.0,121.0,7.0,3.0,2.0,0.0,0.0,236.0,234.0,2.0,0.008968609865470852,-1.0,3.0,4.0
2024-06-11 00:00:00,NCL,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,-24.0,-24.0,-24.0,-24.0,-24.0
2024-06-11 00:00:00,REG,7742,7719.0,23.0,0.0,0.0,23.0,722.0,4214.0,2783.0,1193.0,545.0,331.0,105.0,12.0,24384.0,7072.0,17312.0,2.2427775618603447,1.0,8.0,14.0
2024-06-12 00:00:00,,262,261.0,1.0,0.0,0.0,1.0,11.0,188.0,62.0,116.0,90.0,63.0,41.0,21.0,3882.0,261.0,3621.0,13.873563218390805,4.0,50.0,74.0
2024-06-12 00:00:00,EC,18,18.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,7.0,5.0,0.0,0.0,0.0,93.0,20.0,73.0,4.055555555555555,4.0,12.600000000000001,14.149999999999999
2024-06-12 00:00:00,EN,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,55.0,0.0,55.0,55.0,55.0,55.0,55.0
2024-06-12 00:00:00,EXP,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,14.0,0.0,14.0,14.0,14.0,14.0,14.0
2024-06-12 00:00:00,IC,99,98.0,1.0,0.0,0.0,1.0,5.0,68.0,25.0,44.0,27.0,21.0,9.0,3.0,1351.0,133.0,1218.0,12.428571428571429,4.0,25.599999999999994,42.449999999999974
2024-06-12 00:00:00,ICN,11,11.0,0.0,0.0,0.0,0.0,1.0,8.0,2.0,5.0,2.0,1.0,1.0,0.0,95.0,10.0,85.0,7.7272727272727275,3.0,14.0,34.0
2024-06-12 00:00:00,MET,232,232.0,0.0,0.0,0.0,0.0,29.0,74.0,129.0,4.0,0.0,0.0,0.0,0.0,160.0,264.0,-104.0,-0.4482758620689655,-1.0,2.0,3.0
2024-06-12 00:00:00,REG,7762,7730.0,32.0,0.0,0.0,32.0,766.0,4046.0,2918.0,1058.0,478.0,303.0,82.0,16.0,22615.0,7499.0,15116.0,1.9554980595084088,1.0,7.0,12.0
2024-06-13 00:00:00,,260,260.0,0.0,0.0,0.0,0.0,4.0,198.0,58.0,122.0,96.0,63.0,43.0,19.0,4240.0,249.0,3991.0,15.35,5.0,50.39999999999998,74.14999999999995
2024-06-13 00:00:00,EC,18,18.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,12.0,6.0,2.0,1.0,1.0,256.0,9.0,247.0,13.722222222222221,7.5,15.3,32.19999999999985
2024-06-13 00:00:00,EN,2,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,65.0,0.0,65.0,32.5,32.5,52.1,54.55
2024-06-13 00:00:00,IC,95,95.0,0.0,0.0,0.0,0.0,4.0,65.0,26.0,38.0,23.0,12.0,10.0,4.0,1108.0,100.0,1008.0,10.610526315789473,3.0,31.200000000000017,56.19999999999999
2024-06-13 00:00:00,ICN,15,15.0,0.0,0.0,0.0,0.0,1.0,11.0,3.0,7.0,4.0,4.0,2.0,0.0,146.0,24.0,122.0,8.133333333333333,4.0,30.79999999999999,40.599999999999994
2024-06-13 00:00:00,MET,226,226.0,0.0,0.0,0.0,0.0,20.0,78.0,128.0,9.0,4.0,2.0,1.0,0.0,255.0,257.0,-2.0,-0.008849557522123894,-1.0,3.0,4.0
2024-06-13 00:00:00,NCL,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,-61.0,-61.0,-61.0,-61.0,-61.0
2024-06-13 00:00:00,REG,7805,7780.0,25.0,0.0,0.0,25.0,795.0,4003.0,2982.0,928.0,382.0,202.0,68.0,11.0,19978.0,7635.0,12343.0,1.586503856041131,1.0,6.0,10.0
2024-06-14 00:00:00,,271,271.0,0.0,0.0,0.0,0.0,12.0,179.0,80.0,101.0,62.0,41.0,19.0,5.0,2364.0,309.0,2055.0,7.583025830258302,3.0,25.0,37.5
2024-06-14 00:00:00,EC,20,20.0,0.0,0.0,0.0,0.0,1.0,17.0,2.0,12.0,6.0,4.0,1.0,0.0,186.0,6.0,180.0,9.0,6.0,17.40000000000002,30.400000000000006
2024-06-14 00:00:00,EN,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-5.0,-5.0,-5.0,-5.0,-5.0
2024-06-14 00:00:00,EXP,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,-6.0,-6.0,-6.0,-6.0,-6.0
2024-06-14 00:00:00,IC,98,98.0,0.0,0.0,0.0,0.0,3.0,67.0,28.0,43.0,29.0,21.0,8.0,3.0,1061.0,88.0,973.0,9.928571428571429,4.0,28.599999999999994,50.14999999999999
2024-06-14 00:00:00,ICN,15,15.0,0.0,0.0,0.0,0.0,1.0,8.0,6.0,2.0,2.0,1.0,0.0,0.0,55.0,37.0,18.0,1.2,1.0,9.399999999999997,18.09999999999998
2024-06-14 00:00:00,MET,226,226.0,0.0,0.0,0.0,0.0,22.0,73.0,131.0,1.0,0.0,0.0,0.0,0.0,140.0,279.0,-139.0,-0.6150442477876106,-1.0,2.0,3.0
2024-06-14 00:00:00,NCL,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,-23.0,-23.0,-23.0,-23.0,-23.0
